      Node Label     U.Magnitude            U.U1            U.U2
                          @Loc 1          @Loc 1          @Loc 1
-----------------------------------------------------------------
             484         17.3226        -17.3196     321.345E-03
             485         17.3226         17.3196    -321.301E-03
             486         10.6872         10.4316         2.32341
             487         10.6869        -10.4313        -2.32360
             488         10.5543        -10.2760         2.40770
             489         10.6941         2.32446         10.4384
             490         10.6953        -2.32370        -10.4398
             491         10.8162        -2.24962         10.5797
             492         10.8158         2.24990        -10.5792
             493         10.5561         10.2782        -2.40651
             494         44.8381         1.22836        -44.8213
             495         44.8642         44.8471         1.23792
             496         44.8642        -44.8471        -1.23792
             497         44.8381        -1.22835         44.8213
             498         44.8920        -44.8753         1.22548
             499         44.8920         44.8753        -1.22548
             500         44.8906        -1.22572        -44.8739
             501         44.8906         1.22572         44.8739
             502         41.9335         1.50948        -41.9063
             503         41.8998         41.8700         1.57879
             504         41.8998        -41.8700        -1.57879
             505         41.9335        -1.50948         41.9063
             506         41.9680        -1.53741        -41.9398
             507         41.9680         1.53741         41.9398
             508         41.9631         41.9350        -1.53685
             509         41.9631        -41.9350         1.53685
             510         39.8773        -1.16272        -39.8603
             511         39.8773         1.16272         39.8603
             512         39.8341        -39.8173         1.15670
             513         39.8341         39.8173        -1.15669
             514         39.6513         39.6316         1.24930
             515         39.6513        -39.6316        -1.24930
             516         39.8772        -1.16604         39.8602
             517         39.8772         1.16604        -39.8602
             518         28.7627        -28.6883        -2.06752
             519         28.7628         28.6883         2.06749
             520         29.2749        -1.96909         29.2086
             521         29.2751         1.96919        -29.2088
             522         35.7381        -2.17213         35.6720
             523         35.7380         2.17217        -35.6719
             524         12.9121         1.18026        -12.8580
             525         12.9121        -1.18020         12.8581
             526         12.8252         12.7677        -1.21271
             527         12.8653         1.19823         12.8093
             528         12.8660        -1.19798        -12.8101
             529         12.8750        -12.8197        -1.19225
             530         12.8751         12.8198         1.19221
             531         12.8240        -12.7664         1.21311
             532         8.27770        -6.69759         4.86442
             533         8.39514        -7.02293        -4.59966
             534         8.39524         7.02362         4.59878
             535         8.49942        -4.44444        -7.24480
             536         8.49872         4.44561         7.24326
             537         8.27846         6.69942        -4.86320
             538         8.61721         4.23930        -7.50231
             539         8.61763        -4.23826         7.50338
             540         15.3906        -15.3865    -356.591E-03
             541         15.3907         15.3865     356.596E-03
             542         15.4081    -351.695E-03         15.4040
             543         15.4080     351.708E-03        -15.4040
             544         38.0506    -687.320E-03        -38.0444
             545         38.0506     687.319E-03         38.0444
             546         37.9461        -37.9403     660.483E-03
             547         37.9461         37.9403    -660.477E-03
             548         37.9399         37.9325     746.425E-03
             549         37.9399        -37.9325    -746.421E-03
             550         38.0474    -680.178E-03         38.0413
             551         38.0474     680.178E-03        -38.0413
             552         26.1505        -26.1052        -1.53899
             553         26.1505         26.1052         1.53894
             554         31.9670        -31.8634        -2.57224
             555         31.9670         31.8634         2.57223
             556         26.2893         1.49133        -26.2470
             557         26.2890        -1.49128         26.2467
             558         39.0783        -2.32114         39.0093
             559         39.0783         2.32119        -39.0093
             560         10.7542         2.12997        -10.5412
             561         15.3190         15.3145    -374.290E-03
             562         10.7543        -2.12979         10.5413
             563         15.3380    -369.347E-03        -15.3335
             564         15.3372     369.601E-03         15.3328
             565         10.7146         10.4990         2.13878
             566         10.7145        -10.4989        -2.13892
             567         15.3178        -15.3132     374.733E-03
             568         17.8855         17.8844    -193.332E-03
             569         17.8855        -17.8844     193.355E-03
             570         17.8951     195.350E-03         17.8941
             571         17.8951    -195.360E-03        -17.8941
             572         37.9280         37.8806        -1.89555
             573         37.9280        -37.8806         1.89556
             574         37.9529        -1.89966        -37.9053
             575         37.9529         1.89966         37.9053
             576         37.8847        -37.8327        -1.98546
             577         37.8847         37.8327         1.98547
             578         8.06305         4.48517        -6.70045
             579         8.06278        -4.48459         6.70051
             580         7.88100         6.31183        -4.71921
             581         7.92009        -5.10012        -6.05942
             582         7.91974         5.10042         6.05871
             583         8.11454        -6.99085        -4.11993
             584         8.11445         6.99098         4.11952
             585         7.88034        -6.31098         4.71925
             586         10.6578        -10.4400         2.14371
             587         10.7117         2.12086         10.4996
             588         10.7124        -2.12059        -10.5004
             589         32.6028         1.81417        -32.5523
             590         32.6028        -1.81415         32.5523
             591         10.6588         10.4411        -2.14346
             592         20.0416        -20.0254     804.002E-03
             593         20.0416         20.0254    -803.972E-03
             594         20.0498     805.529E-03         20.0337
             595         20.0498    -805.548E-03        -20.0336
             596         39.6882         39.6179         2.36227
             597         39.6882        -39.6179        -2.36227
             598         39.6976        -2.31925        -39.6298
             599         39.6976         2.31925         39.6298
             600         39.6905         39.6228        -2.31809
             601         39.6905        -39.6228         2.31810
             602         24.7364        -24.6027         2.56896
             603         24.7364         24.6027        -2.56893
             604         24.7372        -2.56847        -24.6035
             605         24.7372         2.56845         24.6035
             606         24.9059     865.349E-03        -24.8908
             607         24.9057    -865.339E-03         24.8907
             608         24.8711        -24.8552    -887.557E-03
             609         24.8709         24.8550     887.517E-03
             610         11.6246         1.42042        -11.5375
             611         11.6246        -1.42036         11.5375
             612         11.6803         11.5960        -1.40099
             613         11.7025        -1.39484        -11.6190
             614         11.7021         1.39493         11.6186
             615         11.6143         11.5274         1.41785
             616         11.6142        -11.5273        -1.41794
             617         11.6797        -11.5953         1.40095
             618         9.25535        -2.64413         8.86961
             619         9.25551         2.64432        -8.86973
             620         9.50648         9.19721        -2.40510
             621         9.52907        -2.40695        -9.22008
             622         9.52867         2.40707         9.21963
             623         9.50572        -9.19647         2.40495
             624         9.27125         8.90124         2.59307
             625         9.27121        -8.90115        -2.59326
             626         31.6228         1.13922        -31.6023
             627         31.6228        -1.13921         31.6023
             628         34.6273         34.6191     755.134E-03
             629         34.6273        -34.6191    -755.130E-03
             630         34.3595    -745.224E-03        -34.3514
             631         34.3595     745.223E-03         34.3514
             632         34.1835        -34.1762     705.716E-03
             633         34.1835         34.1762    -705.709E-03
             634         40.3994    -210.661E-03         40.3989
             635         40.3994     210.660E-03        -40.3989
             636         34.2452    -643.122E-03         34.2392
             637         34.2452     643.123E-03        -34.2392
             638         39.8852    -238.010E-03        -39.8845
             639         39.8852     238.009E-03         39.8845
             640         39.7813        -39.7808     208.370E-03
             641         39.7813         39.7808    -208.366E-03
             642         40.3097        -40.3090    -245.027E-03
             643         40.3097         40.3090     245.032E-03
             644         31.8817        -31.8300        -1.81480
             645         31.8817         31.8300         1.81479
             646         32.1420        -31.9743        -3.27942
             647         32.1421         31.9743         3.27942
             648         22.9753        -22.9427        -1.22465
             649         22.9758         22.9431         1.22471
             650         17.2655    -320.007E-03         17.2625
             651         17.2665     320.361E-03        -17.2635
             652         39.3110        -2.97596         39.1982
             653         39.3109         2.97606        -39.1981
             654         17.2371         17.2342     314.618E-03
             655         17.2353        -17.2325    -314.144E-03
             656         23.0585         1.21112        -23.0267
             657         23.0580        -1.21100         23.0262
             658         7.93515         7.07218        -3.59873
             659         7.93969         3.68242         7.03409
             660         7.94001        -3.68232        -7.03451
             661         7.93448        -7.07156         3.59846
             662         39.4893        -39.3807         2.92708
             663         39.5083        -39.3977        -2.95479
             664         39.4919        -2.92760        -39.3832
             665         39.5083         39.3977         2.95479
             666         39.4893         39.3807        -2.92707
             667         39.4919         2.92760         39.3832
             668         25.3036        -2.00580        -25.2239
             669         25.3036         2.00579         25.2239
             670         25.2966         25.2171        -2.00494
             671         25.2966        -25.2171         2.00496
